shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
88177,46.4691231856243,30.668796300888065,1,
88177,46.46912,30.6688,6,
88177,46.46912,30.6688,8,
88177,46.46915,30.66877,10,
88177,46.46914,30.66874,12,
88177,46.46912,30.66872,14,
88177,46.46934,30.66881,16,
88177,46.46951,30.66891,18,
88177,46.47,30.66917,20,
88177,46.4703,30.66932,22,
88177,46.47024,30.6696,24,
88177,46.47015,30.66996,26,
88177,46.47009,30.66993,28,
88177,46.47009,30.66993,30,
88177,46.47013183433134,30.66989600658417,32,
88177,46.47009,30.66993,37,
88177,46.47009,30.66993,39,
88177,46.47015,30.66996,41,
88177,46.46955,30.67224,43,
88177,46.46944,30.67265,45,
88177,46.46943,30.67269,47,
88177,46.46937,30.67267,49,
88177,46.46937,30.67267,51,
88177,46.46941876227313,30.67268013954163,53,
88177,46.46937,30.67267,58,
88177,46.46937,30.67267,60,
88177,46.46943,30.67269,62,
88177,46.46942,30.67276,64,
88177,46.4694,30.67291,66,
88177,46.46919,30.67381,68,
88177,46.46888,30.67509,70,
88177,46.46852,30.67664,72,
88177,46.46839,30.67718,74,
88177,46.46837,30.67724,76,
88177,46.4682,30.67791,78,
88177,46.46803,30.67861,80,
88177,46.468,30.67872,82,
88177,46.46789,30.67867,84,
88177,46.46789,30.67867,86,
88177,46.467889,30.678667,88,
88177,46.46789,30.67867,93,
88177,46.46789,30.67867,95,
88177,46.468,30.67872,97,
88177,46.46758,30.6805,99,
88177,46.46719,30.682,101,
88177,46.46714,30.68217,103,
88177,46.46706,30.68211,105,
88177,46.46706,30.68211,107,
88177,46.46709105271302,30.682057142257694,109,
88177,46.46706,30.68211,114,
88177,46.46706,30.68211,116,
88177,46.46714,30.68217,118,
88177,46.4671,30.6823,120,
88177,46.46706,30.68252,122,
88177,46.46695,30.68273,124,
88177,46.46691,30.68286,126,
88177,46.46685,30.68312,128,
88177,46.46667,30.68398,130,
88177,46.46657,30.68458,132,
88177,46.46652,30.68492,134,
88177,46.46646,30.68546,136,
88177,46.46642,30.68578,138,
88177,46.46633,30.68694,140,
88177,46.46631,30.6876,142,
88177,46.46627,30.68769,144,
88177,46.46622,30.68782,146,
88177,46.46616,30.68795,148,
88177,46.46605,30.68801,150,
88177,46.46595,30.68805,152,
88177,46.46586,30.68803,154,
88177,46.4658,30.68803,156,
88177,46.4658,30.68787,158,
88177,46.4658,30.68787,160,
88177,46.465749803432104,30.687958002090458,162,
88177,46.4658,30.68787,167,
88177,46.4658,30.68787,169,
88177,46.4658,30.68803,171,
88177,46.46489,30.68795,173,
88177,46.46472,30.68793,175,
88177,46.46457,30.68803,177,
88177,46.46436,30.68823,179,
88177,46.46382,30.68868,181,
88177,46.46238,30.6899,183,
88177,46.46206,30.69018,185,
88177,46.46186,30.69036,187,
88177,46.46181,30.69026,189,
88177,46.46181,30.69026,191,
88177,46.461811,30.69026,193,
88177,46.46181,30.69026,198,
88177,46.46181,30.69026,200,
88177,46.46186,30.69036,202,
88177,46.46185,30.69037,204,
88177,46.46172,30.69048,206,
88177,46.46133,30.69082,208,
88177,46.46129,30.69087,210,
88177,46.46092,30.69117,212,
88177,46.46088,30.69119,214,
88177,46.46075,30.69123,216,
88177,46.46065,30.69123,218,
88177,46.46054,30.69121,220,
88177,46.4606,30.69177,222,
88177,46.4606,30.6919,224,
88177,46.4606,30.69213,226,
88177,46.46062,30.69267,228,
88177,46.46057,30.69267,230,
88177,46.46057,30.69267,232,
88177,46.460574,30.692668,234,
88177,46.46057,30.69267,239,
88177,46.46057,30.69267,241,
88177,46.46062,30.69267,243,
88177,46.46071,30.69488,245,
88177,46.46075,30.697,247,
88177,46.46075,30.69707,249,
88177,46.46075,30.69713,251,
88177,46.46075,30.69724,253,
88177,46.46075,30.69732,255,
88177,46.46075,30.69754,257,
88177,46.46075,30.6976,259,
88177,46.46075,30.69797,261,
88177,46.4607,30.69797,263,
88177,46.4607,30.69797,265,
88177,46.460698,30.697969,267,
88177,46.4607,30.69797,272,
88177,46.4607,30.69797,274,
88177,46.46075,30.69797,276,
88177,46.46075,30.69823,278,
88177,46.46075,30.69878,280,
88177,46.46077,30.69896,282,
88177,46.46077,30.69926,284,
88177,46.46077,30.70063,286,
88177,46.46077,30.7017,288,
88177,46.46077,30.70254,290,
88177,46.46077,30.70348,292,
88177,46.46077,30.70376,294,
88177,46.46077,30.70434,296,
88177,46.46077,30.70477,298,
88177,46.46077,30.70533,300,
88177,46.46077,30.70575,302,
88177,46.46069,30.70575,304,
88177,46.46069,30.70575,306,
88177,46.460692,30.705753,308,
88177,46.46069,30.70575,313,
88177,46.46069,30.70575,315,
88177,46.46077,30.70575,317,
88177,46.46077,30.70576,319,
88177,46.46077,30.70629,321,
88177,46.4608,30.70647,323,
88177,46.4608,30.70662,325,
88177,46.4608,30.70689,327,
88177,46.4608,30.70857,329,
88177,46.4608,30.70913,331,
88177,46.46082,30.70953,333,
88177,46.46082,30.70983,335,
88177,46.46082,30.7099,337,
88177,46.46082,30.71024,339,
88177,46.46082,30.71031,341,
88177,46.46082,30.71048,343,
88177,46.46082,30.71074,345,
88177,46.46082,30.71089,347,
88177,46.46082,30.71123,349,
88177,46.46082,30.7117,351,
88177,46.46082,30.71183,353,
88177,46.46084,30.71213,355,
88177,46.46084,30.71241,357,
88177,46.46084,30.71282,359,
88177,46.46084,30.71307,361,
88177,46.46084,30.71333,363,
88177,46.46084,30.71352,365,
88177,46.4609,30.71352,367,
88177,46.4611,30.71352,369,
88177,46.46127,30.71352,371,
88177,46.46133,30.71352,373,
88177,46.46163,30.71352,375,
88177,46.46206,30.71355,377,
88177,46.46253,30.71355,379,
88177,46.4626,30.71363,381,
88177,46.46262,30.71368,383,
88177,46.46273,30.71385,385,
88177,46.46278,30.71394,387,
88177,46.46276,30.71397,389,
88177,46.46276,30.71397,391,
88177,46.462762,30.713968,393,
88177,46.46276,30.71397,398,
88177,46.46276,30.71397,400,
88177,46.46278,30.71394,402,
88177,46.46283,30.71402,404,
88177,46.46296,30.71423,406,
88177,46.46326,30.71473,408,
88177,46.46361,30.71526,410,
88177,46.46397,30.71586,412,
