trip_id,trip_headsign,route_id,service_id,shape_id,direction_id
1655712,,88177,1,88177,0
1655711,,88177,1,88177,0
1655696,,88177,1,88177,0
1655795,,88177,1,88177,0
1655794,,88177,1,88177,0
1655793,,88177,1,88177,0
1655792,,88177,1,88177,0
1655791,,88177,1,88177,0
1655790,,88177,1,88177,0
1655789,,88177,1,88177,0
1655788,,88177,1,88177,0
1655787,,88177,1,88177,0
1655786,,88177,1,88177,0
1655785,,88177,1,88177,0
1655784,,88177,1,88177,0
1655783,,88177,1,88177,0
1655713,,88177,1,88177,0
1655714,,88177,1,88177,0
1655715,,88177,1,88177,0
1655716,,88177,1,88177,0
1655717,,88177,1,88177,0
1655718,,88177,1,88177,0
1655719,,88177,1,88177,0
1655720,,88177,1,88177,0
1655721,,88177,1,88177,0
1655722,,88177,1,88177,0
1655723,,88177,1,88177,0
1655724,,88177,1,88177,0
1655725,,88177,1,88177,0
1655726,,88177,1,88177,0
1655727,,88177,1,88177,0
1655728,,88177,1,88177,0
1655729,,88177,1,88177,0
1655730,,88177,1,88177,0
1655731,,88177,1,88177,0
1655732,,88177,1,88177,0
1655733,,88177,1,88177,0
1655734,,88177,1,88177,0
1655735,,88177,1,88177,0
1655736,,88177,1,88177,0
1655737,,88177,1,88177,0
1655753,,88177,1,88177,0
1655752,,88177,1,88177,0
1655751,,88177,1,88177,0
1655750,,88177,1,88177,0
1655749,,88177,1,88177,0
1655748,,88177,1,88177,0
1655747,,88177,1,88177,0
1655746,,88177,1,88177,0
1655745,,88177,1,88177,0
1655744,,88177,1,88177,0
1655743,,88177,1,88177,0
1655742,,88177,1,88177,0
1655741,,88177,1,88177,0
1655740,,88177,1,88177,0
1655739,,88177,1,88177,0
1655738,,88177,1,88177,0
1655782,,88177,1,88177,0
1655781,,88177,1,88177,0
1655780,,88177,1,88177,0
1655779,,88177,1,88177,0
1655778,,88177,1,88177,0
1655777,,88177,1,88177,0
1655776,,88177,1,88177,0
1655775,,88177,1,88177,0
1655774,,88177,1,88177,0
1655773,,88177,1,88177,0
1655772,,88177,1,88177,0
1655771,,88177,1,88177,0
1655770,,88177,1,88177,0
1655769,,88177,1,88177,0
1655768,,88177,1,88177,0
1655767,,88177,1,88177,0
1655766,,88177,1,88177,0
1655765,,88177,1,88177,0
1655764,,88177,1,88177,0
1655763,,88177,1,88177,0
1655762,,88177,1,88177,0
1655761,,88177,1,88177,0
1655760,,88177,1,88177,0
1655759,,88177,1,88177,0
1655758,,88177,1,88177,0
1655757,,88177,1,88177,0
1655756,,88177,1,88177,0
1655710,,88177,1,88177,0
1655709,,88177,1,88177,0
1655708,,88177,1,88177,0
1655707,,88177,1,88177,0
1655706,,88177,1,88177,0
1655705,,88177,1,88177,0
1655704,,88177,1,88177,0
1655703,,88177,1,88177,0
1655702,,88177,1,88177,0
1655701,,88177,1,88177,0
1655700,,88177,1,88177,0
1655699,,88177,1,88177,0
1655698,,88177,1,88177,0
1655697,,88177,1,88177,0
1655754,,88177,1,88177,0
1655755,,88177,1,88177,0
1655630,,88178,1,88178,1
1655629,,88178,1,88178,1
1655628,,88178,1,88178,1
1655590,,88178,1,88178,1
1655692,,88178,1,88178,1
1655691,,88178,1,88178,1
1655690,,88178,1,88178,1
1655689,,88178,1,88178,1
1655688,,88178,1,88178,1
1655687,,88178,1,88178,1
1655686,,88178,1,88178,1
1655685,,88178,1,88178,1
1655684,,88178,1,88178,1
1655683,,88178,1,88178,1
1655682,,88178,1,88178,1
1655681,,88178,1,88178,1
1655680,,88178,1,88178,1
1655679,,88178,1,88178,1
1655678,,88178,1,88178,1
1655677,,88178,1,88178,1
1655676,,88178,1,88178,1
1655675,,88178,1,88178,1
1655674,,88178,1,88178,1
1655673,,88178,1,88178,1
1655672,,88178,1,88178,1
1655671,,88178,1,88178,1
1655670,,88178,1,88178,1
1655669,,88178,1,88178,1
1655668,,88178,1,88178,1
1655667,,88178,1,88178,1
1655666,,88178,1,88178,1
1655665,,88178,1,88178,1
1655664,,88178,1,88178,1
1655663,,88178,1,88178,1
1655662,,88178,1,88178,1
1655661,,88178,1,88178,1
1655660,,88178,1,88178,1
1655659,,88178,1,88178,1
1655658,,88178,1,88178,1
1655657,,88178,1,88178,1
1655656,,88178,1,88178,1
1655655,,88178,1,88178,1
1655654,,88178,1,88178,1
1655653,,88178,1,88178,1
1655652,,88178,1,88178,1
1655651,,88178,1,88178,1
1655650,,88178,1,88178,1
1655649,,88178,1,88178,1
1655648,,88178,1,88178,1
1655647,,88178,1,88178,1
1655646,,88178,1,88178,1
1655645,,88178,1,88178,1
1655644,,88178,1,88178,1
1655643,,88178,1,88178,1
1655642,,88178,1,88178,1
1655641,,88178,1,88178,1
1655640,,88178,1,88178,1
1655639,,88178,1,88178,1
1655638,,88178,1,88178,1
1655637,,88178,1,88178,1
1655636,,88178,1,88178,1
1655635,,88178,1,88178,1
1655634,,88178,1,88178,1
1655633,,88178,1,88178,1
1655632,,88178,1,88178,1
1655631,,88178,1,88178,1
1655627,,88178,1,88178,1
1655626,,88178,1,88178,1
1655625,,88178,1,88178,1
1655624,,88178,1,88178,1
1655623,,88178,1,88178,1
1655622,,88178,1,88178,1
1655621,,88178,1,88178,1
1655620,,88178,1,88178,1
1655619,,88178,1,88178,1
1655618,,88178,1,88178,1
1655617,,88178,1,88178,1
1655616,,88178,1,88178,1
1655615,,88178,1,88178,1
1655614,,88178,1,88178,1
1655613,,88178,1,88178,1
1655612,,88178,1,88178,1
1655611,,88178,1,88178,1
1655610,,88178,1,88178,1
1655609,,88178,1,88178,1
1655608,,88178,1,88178,1
1655607,,88178,1,88178,1
1655606,,88178,1,88178,1
1655605,,88178,1,88178,1
1655604,,88178,1,88178,1
1655603,,88178,1,88178,1
1655602,,88178,1,88178,1
1655601,,88178,1,88178,1
1655600,,88178,1,88178,1
1655599,,88178,1,88178,1
1655598,,88178,1,88178,1
1655597,,88178,1,88178,1
1655596,,88178,1,88178,1
1655595,,88178,1,88178,1
1655594,,88178,1,88178,1
1655593,,88178,1,88178,1
1655592,,88178,1,88178,1
1655591,,88178,1,88178,1
1655562,,89311,1,89311,0
1655581,,89311,1,89311,0
1655580,,89311,1,89311,0
1655579,,89311,1,89311,0
1655578,,89311,1,89311,0
1655577,,89311,1,89311,0
1655576,,89311,1,89311,0
1655575,,89311,1,89311,0
1655574,,89311,1,89311,0
1655573,,89311,1,89311,0
1655572,,89311,1,89311,0
1655571,,89311,1,89311,0
1655570,,89311,1,89311,0
1655569,,89311,1,89311,0
1655568,,89311,1,89311,0
1655567,,89311,1,89311,0
1655566,,89311,1,89311,0
1655565,,89311,1,89311,0
1655564,,89311,1,89311,0
1655563,,89311,1,89311,0
1655583,,89311,1,89311,0
1655561,,89311,1,89311,0
1655560,,89311,1,89311,0
1655559,,89311,1,89311,0
1655558,,89311,1,89311,0
1655557,,89311,1,89311,0
1655556,,89311,1,89311,0
1655555,,89311,1,89311,0
1655554,,89311,1,89311,0
1655553,,89311,1,89311,0
1655552,,89311,1,89311,0
1655582,,89311,1,89311,0
1655520,,89312,1,89312,1
1655521,,89312,1,89312,1
1655522,,89312,1,89312,1
1655523,,89312,1,89312,1
1655524,,89312,1,89312,1
1655525,,89312,1,89312,1
1655526,,89312,1,89312,1
1655527,,89312,1,89312,1
1655528,,89312,1,89312,1
1655529,,89312,1,89312,1
1655518,,89312,1,89312,1
1655548,,89312,1,89312,1
1655547,,89312,1,89312,1
1655546,,89312,1,89312,1
1655545,,89312,1,89312,1
1655544,,89312,1,89312,1
1655543,,89312,1,89312,1
1655542,,89312,1,89312,1
1655541,,89312,1,89312,1
1655540,,89312,1,89312,1
1655539,,89312,1,89312,1
1655538,,89312,1,89312,1
1655537,,89312,1,89312,1
1655536,,89312,1,89312,1
1655535,,89312,1,89312,1
1655534,,89312,1,89312,1
1655533,,89312,1,89312,1
1655530,,89312,1,89312,1
1655532,,89312,1,89312,1
1655531,,89312,1,89312,1
1657140,,89403,1,89403,0
1657138,,89403,1,89403,0
1657137,,89403,1,89403,0
1657139,,89403,1,89403,0
1657170,,89403,1,89403,0
1657171,,89403,1,89403,0
1657172,,89403,1,89403,0
1657173,,89403,1,89403,0
1657174,,89403,1,89403,0
1657175,,89403,1,89403,0
1657176,,89403,1,89403,0
1657177,,89403,1,89403,0
1657178,,89403,1,89403,0
1657179,,89403,1,89403,0
1657180,,89403,1,89403,0
1657181,,89403,1,89403,0
1657182,,89403,1,89403,0
